# Rime user dictionary
#@/db_name	extended
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	389086
#@/user_id	mac
a 	啊	c=2090 d=6.0343 t=389086
ren ji 	人际	c=1 d=1.08138e-185 t=389086
ren jiu 	人就	c=1 d=3.55347e-05 t=389086
ren jun 	人均	c=15 d=0.00927059 t=389086
ren ke 	认可	c=1 d=3.61763e-39 t=389086
ren lei 	人类	c=8 d=6.94816e-129 t=389086
ren li 	人力	c=12 d=2.3827e-38 t=389086
ren mai 	人脉	c=1 d=0 t=389086
ren men 	人们	c=2 d=3.34507e-88 t=389086
ren min 	人民	c=5 d=7.03669e-88 t=389086
ren min bi 	人民币	c=2 d=3.71059e-14 t=389086
ren ming bi 	人明比	c=1 d=9.01318e-249 t=389086
ren ne 	人呢	c=2 d=1.74659e-237 t=389086
ren qi 	人气	c=1 d=0 t=389086
ren qun 	人群	c=33 d=2.43332e-50 t=389086
ren ren 	人人	c=1 d=5.99946e-49 t=389086
ren she 	人社	c=1 d=0.000270565 t=389086
ren shen 	人身	c=2 d=1.11624e-29 t=389086
ren sheng 	人生	c=0 d=5.93755e-75 t=389086
ren sheng gong ji 	人生攻击	c=1 d=5.96731e-74 t=389086
ren shi 	人士	c=1 d=0 t=389086
ren shi 	认识	c=8 d=0.0759572 t=389086
ren shou 	人手	c=2 d=1.24173e-194 t=389086
ren shu 	人数	c=7 d=5.92812e-102 t=389086
ren tai duo 	人太多	c=1 d=2.13364e-92 t=389086
ren ti 	人体	c=9 d=3.00768e-190 t=389086
ren tian tang 	任天堂	c=1 d=8.65317e-05 t=389086
ren tong 	认同	c=1 d=1.46527e-24 t=389086
ren wei 	认为	c=5 d=2.78143e-123 t=389086
ren wu 	任务	c=150 d=2.56172e-08 t=389086
ren xing 	人性	c=2 d=0 t=389086
ren yi 	任意	c=3 d=2.01823e-173 t=389086
ren yuan 	人员	c=4 d=3.54338e-236 t=389086
ren zhe 	忍者	c=2 d=3.4002e-65 t=389086
ren zhen 	认真	c=5 d=2.40831e-47 t=389086
ren zheng 	认证	c=6 d=6.5185e-162 t=389086
ren zhi 	任职	c=2 d=7.14214e-89 t=389086
ren zhi 	认知	c=2 d=3.1114e-89 t=389086
ren zhu 	忍住	c=4 d=3.83353e-162 t=389086
reng 	扔	c=13 d=0.0120946 t=389086
reng ran 	仍然	c=6 d=1.29178e-12 t=389086
ri 	日	c=81 d=1.54334e-17 t=389086
ri ai 	日爱	c=1 d=0.232236 t=389086
ri bao 	日报	c=1 d=3.01502e-13 t=389086
ri ben 	日本	c=12 d=9.76919e-24 t=389086
ri ben ren 	日本人	c=3 d=2.32063e-51 t=389086
ri bi 	日币	c=2 d=1.05665e-23 t=389086
ri bu 	日不	c=1 d=2.48561e-153 t=389086
ri chang 	日常	c=12 d=3.4479e-150 t=389086
ri cheng 	日程	c=4 d=2.09701e-06 t=389086
ri chui 	日吹	c=7 d=2.88628e-29 t=389086
ri huan bi 	日环比	c=2 d=1.74148e-85 t=389086
ri jing 	日经	c=1 d=6.44768e-220 t=389086
ri li 	日历	c=11 d=6.9723e-111 t=389086
ri ni ma 	日你吗	c=1 d=9.79905e-115 t=389086
ri qi 	日期	c=67 d=0.000173377 t=389086
ri shi 	日式	c=1 d=0.000359786 t=389086
ri ta 	日他	c=1 d=4.30641e-60 t=389086
ri ta ma 	日他吗	c=2 d=7.87221e-98 t=389086
ri yuan 	日元	c=4 d=2.84573e-39 t=389086
ri zhi 	日志	c=804 d=1.64013 t=389086
ri zhi kan 	日志看	c=1 d=1.40005e-194 t=389086
ri zi 	日子	c=2 d=6.06388e-57 t=389086
rong 	容	c=12 d=6.47705e-09 t=389086
rong 	嵘	c=22 d=7.21644e-16 t=389086
rong 	融	c=1 d=4.76449e-14 t=389086
rong cuo 	容错	c=2 d=1.29424e-05 t=389086
rong he 	融合	c=4 d=0.0405589 t=389086
rong jie 	融解	c=1 d=3.60767e-36 t=389086
rong ku 	荣枯	c=2 d=0 t=389086
rong liang 	容量	c=10 d=3.16142e-12 t=389086
rong qi 	容器	c=5 d=1.47304e-233 t=389086
rong yao 	荣耀	c=600 d=8.98292e-15 t=389086
rong yao yong 	荣耀用	c=1 d=0 t=389086
rong yi 	容易	c=45 d=7.27933e-05 t=389086
rong yu 	冗余	c=2 d=3.69849e-05 t=389086
rong zai 	容灾	c=1 d=4.05938e-159 t=389086
rou he 	柔和	c=1 d=5.00115e-143 t=389086
rou yan 	肉眼	c=0 d=9.75879e-97 t=389086
rou yan ke jian 	肉眼可见	c=1 d=9.80771e-96 t=389086
ru 	乳	c=2 d=3.56961e-117 t=389086
ru 	入	c=14 d=1.56301e-10 t=389086
ru 	如	c=56 d=5.83287e-100 t=389086
ru ci 	如此	c=5 d=1.08584e-57 t=389086
ru guo 	如果	c=811 d=1.08184 t=389086
ru he 	如何	c=7 d=0.0315873 t=389086
ru huai en 	入怀嗯	c=1 d=0 t=389086
ru kou 	入口	c=1 d=0 t=389086
ru ku 	入库	c=2 d=7.68177e-104 t=389086
ru ma 	辱骂	c=1 d=2.15274e-138 t=389086
ru men 	入门	c=9 d=5.47954e-12 t=389086
ru qin 	入侵	c=1 d=8.60395e-173 t=389086
ru shang 	如上	c=1 d=0 t=389086
ru shi 	如是	c=1 d=6.83546e-260 t=389086
ru shou 	入手	c=3 d=6.24562e-169 t=389086
ru shu jia zhen 	如数家珍	c=2 d=2.85999e-39 t=389086
ru wu 	入伍	c=2 d=1.14811e-96 t=389086
ru xia 	如下	c=22 d=5.27814e-42 t=389086
ru zhi 	入职	c=40 d=5.31488e-06 t=389086
ru zhu 	入驻	c=1 d=4.37139e-236 t=389086
ruan 	软	c=4 d=2.65485e-122 t=389086
ruan jian 	软件	c=22 d=1.00377e-20 t=389086
ruan lian jie 	软链接	c=5 d=4.62969e-122 t=389086
ruan se qing 	软色情	c=1 d=1.38414e-236 t=389086
rui 	蕊	c=1 d=6.54937e-257 t=389086
run 	润	c=81 d=0.250324 t=389086
ruo 	弱	c=3 d=0.951229 t=389086
ruo 	若	c=2 d=2.28307e-153 t=389086
ruo dian 	弱电	c=2 d=9.39303e-29 t=389086
ruo zhi 	弱智	c=4 d=1.38837e-29 t=389086
sa 	萨	c=2 d=0 t=389086
sa bi 	萨比	c=1 d=0 t=389086
sa dan 	撒旦	c=1 d=0 t=389086
sai 	塞	c=1 d=1.53984e-196 t=389086
sai 	赛	c=1 d=9.49227e-35 t=389086
sai bo 	赛博	c=1 d=0.470011 t=389086
sai dao 	赛道	c=2 d=1.06877e-194 t=389086
sai ji 	赛季	c=1 d=2.15075e-39 t=389086
sai xuan 	赛选	c=16 d=8.28737e-85 t=389086
san 	三	c=98 d=0.0169943 t=389086
san 	伞	c=1 d=0.0788664 t=389086
san 	散	c=2 d=1.98487e-124 t=389086
san bu 	散步	c=3 d=3.61332e-25 t=389086
san da 	三大	c=1 d=1.03499e-81 t=389086
san fang 	三方	c=4 d=3.96843e-69 t=389086
san ge 	三个	c=41 d=5.1356e-72 t=389086
san ge 	三哥	c=1 d=2.92177e-202 t=389086
san ge yue 	三个月	c=1 d=0 t=389086
san guo 	三国	c=1 d=6.8631e-43 t=389086
san he 	三和	c=1 d=1.34082e-303 t=389086
san hu 	散户	c=3 d=1.00296e-165 t=389086
san ji 	三级	c=19 d=9.62917e-27 t=389086
san jia 	三甲	c=1 d=1.07534e-266 t=389086
san jian ke 	三剑客	c=1 d=7.42056e-50 t=389086
san jiao xing 	三角形	c=1 d=3.01251e-297 t=389086
san jiao zhou 	三角洲	c=1 d=2.63214e-121 t=389086
san lei 	三类	c=1 d=0 t=389086
san nian 	三年	c=1 d=6.02421e-68 t=389086
san re 	散热	c=1 d=7.54762e-132 t=389086
san ren 	三人	c=1 d=2.82615e-46 t=389086
san tai 	三台	c=4 d=0 t=389086
san wu 	三五	c=1 d=0 t=389086
san xing 	三星	c=37 d=1.09339e-21 t=389086
san yue 	三月	c=1 d=0 t=389086
san zhong 	三种	c=6 d=1.1315e-71 t=389086
sang shi 	丧尸	c=1 d=1.34269e-290 t=389086
sao 	扫	c=47 d=2.22293 t=389086
sao di 	扫地	c=3 d=1.74909e-195 t=389086
sao miao 	扫描	c=20 d=1.61098e-51 t=389086
sao rao 	骚扰	c=3 d=4.99669e-15 t=389086
se 	塞	c=1 d=6.97474e-262 t=389086
se 	涩	c=2 d=0 t=389086
se 	瑟	c=1 d=0.486752 t=389086
se 	色	c=25 d=0.0485578 t=389086
se qing 	色情	c=1 d=3.2078e-95 t=389086
se se 	色色	c=3 d=6.45181e-110 t=389086
se tu 	色图	c=6 d=8.91259e-264 t=389086
sha 	傻	c=19 d=1.56559e-09 t=389086
sha 	啥	c=2039 d=2.18563 t=389086
sha 	杀	c=178 d=0.737123 t=389086
sha 	沙	c=1 d=2.1129e-36 t=389086
sha ban ben 	啥版本	c=1 d=1.99915e-32 t=389086
sha bi 	傻逼	c=204 d=2.44937 t=389086
sha bi 	煞笔	c=11 d=0.000925663 t=389086
sha biao 	啥表	c=1 d=6.81042e-305 t=389086
sha chuang 	纱窗	c=4 d=0 t=389086
sha cuo 	啥错	c=1 d=2.26782e-133 t=389086
sha diao 	杀掉	c=6 d=1.19589e-222 t=389086
sha dong xi 	啥东西	c=10 d=1.12104e-50 t=389086
sha dou 	啥都	c=17 d=2.66709e-41 t=389086
sha dou kan 	啥都看	c=1 d=3.8403e-124 t=389086
sha dou mei 	啥都没	c=1 d=4.31949e-126 t=389086
sha dou mei fa 	啥都没法	c=1 d=4.34114e-125 t=389086
sha gou 	沙沟	c=1 d=1.55779e-09 t=389086
sha luo bo 	啥萝卜	c=1 d=4.00618e-239 t=389086
sha mo xing 	啥模型	c=1 d=0 t=389086
sha qi 	杀气	c=1 d=0 t=389086
sha qun 	傻群	c=1 d=1.36144e-71 t=389086
sha ren 	杀人	c=1 d=3.63267e-29 t=389086
sha sha 	傻傻	c=0 d=1.4195e-34 t=389086
sha sha 	杀杀	c=1 d=1.0491e-152 t=389086
sha sha sha 	傻傻傻	c=1 d=1.42662e-33 t=389086
sha sha sha 	杀杀杀	c=2 d=1.83232e-95 t=389086
sha she bei 	啥设备	c=1 d=9.07584e-66 t=389086
sha shi 	啥事	c=2 d=5.74077e-148 t=389086
sha shi hou 	啥时候	c=161 d=0.574072 t=389086
sha shi jian 	啥时间	c=1 d=5.98111e-13 t=389086
sha shou 	杀手	c=1 d=0 t=389086
sha shou jian 	杀手锏	c=1 d=0 t=389086
sha shu zu 	啥数组	c=1 d=4.09682e-120 t=389086
sha si 	杀死	c=3 d=6.78188e-50 t=389086
sha te 	沙特	c=1 d=1.39212e-186 t=389086
sha wan 	沙湾	c=0 d=0 t=389086
sha wan yi 	沙湾一	c=6 d=0.000139144 t=389086
sha wen ti 	啥问题	c=2 d=1.36361e-31 t=389086
sha yang 	啥样	c=11 d=7.19023e-32 t=389086
sha yi si 	啥意思	c=104 d=0.969113 t=389086
sha you xian ji 	啥优先级	c=1 d=7.6194e-302 t=389086
sha yuan yin 	啥原因	c=3 d=1.88582e-110 t=389086
shai 	筛	c=1 d=1.78904e-196 t=389086
shai cha 	筛查	c=0 d=3.18802e-229 t=389086
shai xuan 	筛选	c=25 d=4.13954e-95 t=389086
shan 	删	c=146 d=0.0645703 t=389086
shan 	山	c=32 d=0.477114 t=389086
shan 	扇	c=2 d=7.73869e-132 t=389086
shan 	衫	c=2 d=9.98545e-39 t=389086
shan 	闪	c=2 d=1.63096e-284 t=389086
shan chang 	擅长	c=1 d=0 t=389086
shan chu 	删除	c=132 d=0.00946646 t=389086
shan chu xian 	删除线	c=1 d=5.33633e-259 t=389086
shan diao 	删掉	c=51 d=2.7121e-32 t=389086
shan dong 	山东	c=5 d=1.68896e-11 t=389086
shan guang 	闪光	c=1 d=1.53758e-120 t=389086
shan men 	山门	c=1 d=3.97239e-257 t=389086
shan qu 	扇区	c=1 d=2.28618e-169 t=389086
shan tui 	闪退	c=12 d=8.06875e-94 t=389086
shang 	上	c=698 d=1.08477 t=389086
shang 	伤	c=7 d=5.85053e-18 t=389086
shang 	商	c=15 d=9.66921e-17 t=389086
shang 	赏	c=1 d=2.701e-307 t=389086
shang an 	上岸	c=3 d=9.10029e-127 t=389086
shang ban 	上坂	c=3 d=6.20576e-35 t=389086
shang ban 	上班	c=172 d=0.942233 t=389086
shang ban hao 	上班好	c=1 d=1.7037e-268 t=389086
shang ban ma 	上班吗	c=1 d=4.17176e-98 t=389086
shang ban nian 	上半年	c=1 d=6.23879e-68 t=389086
shang bao 	上报	c=1502 d=2.90582 t=389086
shang bao ye you 	上报也有	c=1 d=9.07408e-240 t=389086
shang bian 	上边	c=1 d=0 t=389086
shang bu 	上部	c=1 d=4.61713e-203 t=389086
shang bu liao 	上不了	c=2 d=5.1347e-12 t=389086
shang bu shang 	上不上	c=1 d=1.40744e-109 t=389086
shang ce suo 	上厕所	c=3 d=4.00007e-248 t=389086
shang che 	上车	c=3 d=1.03014e-222 t=389086
shang cheng 	商城	c=1 d=0 t=389086
shang chuan 	上传	c=61 d=3.53575e-05 t=389086
shang ci 	上次	c=110 d=0.0195457 t=389086
shang dao 	上到	c=3 d=4.03978e-14 t=389086
shang de 	上的	c=2 d=2.49722e-149 t=389086
shang di 	上帝	c=2 d=1.03546e-292 t=389086
shang dian 	商店	c=7 d=0.612626 t=389086
shang fang 	上方	c=3 d=5.31759e-12 t=389086
shang ge 	上个	c=4 d=2.66639e-182 t=389086
shang ge yue 	上个月	c=2 d=1.00341e-40 t=389086
shang gu 	上古	c=3 d=4.39733e-188 t=389086
shang guo 	上过	c=2 d=5.47701e-271 t=389086
shang hai 	上海	c=2 d=8.58382e-263 t=389086
shang hai 	伤害	c=5 d=5.53827e-05 t=389086
shang hu 	商户	c=1 d=1.1533e-119 t=389086
shang huo 	上火	c=1 d=2.67627e-52 t=389086
shang ji 	上级	c=3 d=4.85464e-58 t=389086
shang jia 	上架	c=73 d=0.0746459 t=389086
shang jia 	商家	c=2 d=9.1768e-196 t=389086
shang ke 	上课	c=17 d=6.80626e-33 t=389086
shang lai 	上来	c=72 d=1.67854e-05 t=389086
shang lai zhe 	上来者	c=1 d=7.19168e-05 t=389086
shang liang 	商量	c=5 d=1.46974e-141 t=389086
shang lou 	上楼	c=1 d=1.26914e-98 t=389086
shang lu 	上路	c=1 d=0.000120966 t=389086
shang me 	上么	c=1 d=1.03856e-239 t=389086
shang men 	上门	c=2 d=4.75044e-95 t=389086
shang mian 	上面	c=183 d=0.000731802 t=389086
shang nian 	上年	c=1 d=0 t=389086
shang qu 	上去	c=258 d=1.58829 t=389086
shang ren 	上任	c=1 d=1.37129e-97 t=389086
shang sha 	商厦	c=1 d=3.97781e-273 t=389086
shang shang qu 	上上去	c=1 d=0 t=389086
shang shen 	上身	c=1 d=2.13734e-83 t=389086
shang shen 	伤身	c=1 d=6.05446e-215 t=389086
shang shen me 	上什么	c=1 d=1.96411e-118 t=389086
shang sheng 	上升	c=10 d=1.13643e-34 t=389086
shang shi 	上市	c=2 d=1.39268e-282 t=389086
shang tao 	商讨	c=1 d=0 t=389086
shang wang 	上网	c=6 d=7.88928e-13 t=389086
shang wu 	上午	c=15 d=2.90305e-244 t=389086
shang wu 	商务	c=2 d=8.42811e-137 t=389086
shang xia 	上下	c=38 d=1.12612e-15 t=389086
shang xia ban 	上下班	c=1 d=1.47759e-93 t=389086
shang xia jian 	上下键	c=1 d=0 t=389086
shang xia wen 	上下文	c=8 d=4.60532e-26 t=389086
shang xia xian 	上下先	c=1 d=1.84678e-158 t=389086
shang xia you 	上下游	c=6 d=7.87815e-195 t=389086
shang xia zuo you 	上下左右	c=1 d=0 t=389086
shang xian 	上线	c=75 d=0.0810492 t=389086
shang xian 	上限	c=20 d=2.83163e-10 t=389086
shang xue 	上学	c=4 d=2.12827e-33 t=389086
shang ye 	商业	c=2 d=0.268474 t=389086
shang yi 	上一	c=1 d=1.33968e-293 t=389086
shang yi ceng 	上一层	c=2 d=3.23057e-90 t=389086
shang yi ci 	上一次	c=17 d=9.71075e-38 t=389086
shang yi hang 	上一行	c=1 d=0 t=389086
shang yi jie duan 	上一阶段	c=1 d=8.40356e-278 t=389086
shang yi nian 	上一年	c=1 d=2.14874e-263 t=389086
shang yi zhou 	上一周	c=2 d=3.95457e-116 t=389086
shang yin 	上瘾	c=3 d=0.628135 t=389086
shang yong 	商用	c=2 d=2.24571e-106 t=389086
shang you 	上游	c=63 d=1.9187e-20 t=389086
shang yue 	上月	c=2 d=1.18147e-295 t=389086
shang zhang 	上涨	c=7 d=4.09722e-33 t=389086
shang zhi qian 	上之前	c=1 d=1.98387e-265 t=389086
shang zhou 	上周	c=55 d=0.00152332 t=389086
shang zhou wu 	上周五	c=2 d=0 t=389086
shao 	少	c=212 d=0.932403 t=389086
shao 	烧	c=1 d=0 t=389086
shao bu fen 	少部分	c=1 d=0 t=389086
shao ji 	烧鸡	c=1 d=0 t=389086
shao shu 	少数	c=1 d=5.28375e-172 t=389086
shao shui 	烧水	c=1 d=1.48209e-305 t=389086
shao wei 	稍微	c=5 d=3.33371e-48 t=389086
shao yi dian 	少一点	c=1 d=0 t=389086
shao yi ge 	少一个	c=2 d=4.8365e-14 t=389086
she 	社	c=11 d=9.46807e-05 t=389086
she 	舍	c=1 d=3.74725e-12 t=389086
she 	蛇	c=3 d=1.00311e-293 t=389086
she 	设	c=3 d=5.83145e-09 t=389086
she bao 	社保	c=3 d=2.94919e-18 t=389086
she bei 	设备	c=1219 d=2.10591 t=389086
she bu de 	舍不得	c=3 d=6.37282e-24 t=389086
she cheng 	射程	c=1 d=0.000163287 t=389086
she chui 	社吹	c=1 d=6.11576e-304 t=389086
she ding 	设定	c=2 d=3.0179e-83 t=389086
she hui 	社会	c=3 d=2.08827e-192 t=389086
she ji 	涉及	c=25 d=4.97262e-17 t=389086
she ji 	设计	c=119 d=0.832651 t=389086
she ji yuan 	设计院	c=1 d=1.8992e-105 t=389086
she jiao 	社交	c=5 d=3.56043e-155 t=389086
she qu 	社区	c=8 d=2.95434e-95 t=389086
she ruo 	社弱	c=1 d=0 t=389086
she shou 	射手	c=1 d=0.00150344 t=389086
she tou 	舌头	c=2 d=1.53758e-121 t=389086
she tuan 	社团	c=1 d=5.13038e-149 t=389086
she xiang tou 	摄像头	c=4 d=2.1227e-195 t=389086
she zhao 	社招	c=7 d=6.535e-145 t=389086
she zhi 	设置	c=648 d=0.614283 t=389086
shen 	深	c=5 d=8.82797e-05 t=389086
shen 	神	c=94 d=8.78394e-05 t=389086
shen 	身	c=4 d=1.40176e-179 t=389086
shen ao 	深奥	c=1 d=0 t=389086
shen bai ming lie 	身败名裂	c=1 d=2.73324e-182 t=389086
shen bao 	申报	c=1 d=0 t=389086
shen du 	深度	c=4 d=2.46917e-75 t=389086
shen fen 	身份	c=4 d=5.47865e-157 t=389086
shen fen zheng 	身份证	c=4 d=1.86843e-193 t=389086
shen he 	审核	c=87 d=1.81838e-05 t=389086
shen he zhong 	审核中	c=1 d=8.80255e-118 t=389086
shen hua 	神话	c=1 d=0.000187825 t=389086
shen ji 	审计	c=1 d=1.70677e-201 t=389086
shen jia 	身家	c=1 d=3.40687e-215 t=389086
shen jing 	神经	c=5 d=4.81632e-53 t=389086
shen lun 	申论	c=1 d=7.13162e-259 t=389086
shen lve 	神略	c=1 d=6.94704e-274 t=389086
shen me 	什么	c=352 d=0.540641 t=389086
shen mi 	神秘	c=3 d=5.09763e-15 t=389086
shen pan 	审判	c=2 d=8.8004e-27 t=389086
shen pi 	审批	c=14 d=2.69307e-08 t=389086
shen qi 	神奇	c=2 d=2.96489e-51 t=389086
shen qian 	深浅	c=1 d=6.73801e-150 t=389086
shen qing 	申请	c=274 d=9.73316e-06 t=389086
shen qu 	身躯	c=5 d=1.19e-164 t=389086
shen ren 	神人	c=1 d=2.42275e-87 t=389086
shen su 	申诉	c=2 d=3.93631e-91 t=389086
shen ti 	身体	c=10 d=7.84998e-06 t=389086
shen ti hao 	身体好	c=1 d=0 t=389086
shen tou 	渗透	c=2 d=2.86153e-150 t=389086
shen xia 	身下	c=1 d=4.81437e-107 t=389086
shen xiao 	深宵	c=1 d=0 t=389086
shen xin 	深信	c=1 d=0 t=389086
shen yi 	深意	c=1 d=1.65621e-112 t=389086
shen you 	神游	c=1 d=0.000639387 t=389086
shen zhen 	深圳	c=62 d=0.205975 t=389086
shen zhi 	甚至	c=60 d=0.000131698 t=389086
shen zhou 	神舟	c=2 d=9.61382e-83 t=389086
sheng 	剩	c=8 d=1.37151e-08 t=389086
sheng 	升	c=57 d=2.3497e-21 t=389086
sheng 	圣	c=1 d=3.72811e-275 t=389086
sheng 	声	c=9 d=1.96364e-27 t=389086
sheng 	生	c=35 d=1.37877e-14 t=389086
sheng 	省	c=7 d=3.40557e-93 t=389086
sheng 	胜	c=1 d=5.23452e-62 t=389086
sheng bing 	生病	c=1 d=2.36792e-53 t=389086
sheng chan 	生产	c=24 d=1.40778e-34 t=389086
sheng chan li 	生产力	c=2 d=2.62794e-161 t=389086
sheng chan zhe 	生产者	c=1 d=0 t=389086
sheng cheng 	生成	c=234 d=0.456341 t=389086
sheng cun 	生存	c=2 d=0 t=389086
sheng dan 	圣诞	c=5 d=0.214495 t=389086
sheng dan jie 	圣诞节	c=1 d=0.00530026 t=389086
sheng fen 	省份	c=1 d=4.51143e-254 t=389086
sheng gao 	升高	c=2 d=3.39552e-117 t=389086
sheng hai zi 	生孩子	c=1 d=0 t=389086
sheng hua 	生化	c=2 d=1.92136e-65 t=389086
sheng huo 	生活	c=12 d=1.22199e-35 t=389086
sheng ji 	升级	c=79 d=0.112478 t=389086
sheng ka 	声卡	c=2 d=4.75868e-168 t=389086
sheng lai 	生来	c=2 d=4.59555e-88 t=389086
sheng li 	胜利	c=2 d=3.48633e-104 t=389086
sheng lue 	省略	c=3 d=6.98186e-274 t=389086
sheng lv 	胜率	c=1 d=1.13466e-45 t=389086
sheng ming 	声明	c=1 d=0 t=389086
sheng ming 	生命	c=8 d=6.14433e-104 t=389086
sheng pa 	生怕	c=1 d=2.71102e-233 t=389086
sheng qi 	生气	c=1 d=1.47287e-26 t=389086
sheng ri 	生日	c=3 d=6.42598e-151 t=389086
sheng sheng 	声声	c=1 d=2.04492e-298 t=389086
sheng sheng 	生生	c=1 d=2.15011e-153 t=389086
sheng sheng 	省省	c=1 d=3.95646e-151 t=389086
sheng tai 	生态	c=25 d=6.08254e-12 t=389086
sheng wa 	生娃	c=8 d=1.94857e-247 t=389086
sheng wu 	生物	c=2 d=0 t=389086
sheng wu zhong 	生物钟	c=3 d=4.32362e-269 t=389086
sheng xia 	剩下	c=9 d=2.03657e-103 t=389086
sheng xia lai 	生下来	c=1 d=6.66912e-88 t=389086
sheng xiao 	生效	c=182 d=0.0742736 t=389086
sheng yi 	生意	c=1 d=5.44466e-172 t=389086
sheng yin 	声音	c=11 d=9.89785e-86 t=389086
sheng yu 	剩余	c=10 d=2.13966e-37 t=389086
sheng zhang 	省长	c=1 d=2.66133e-280 t=389086
sheng zhi 	升职	c=13 d=0.0544757 t=389086
shi 	事	c=51 d=1.66325e-15 t=389086
shi 	使	c=2 d=1.0207e-182 t=389086
shi 	十	c=6 d=1.42711e-37 t=389086
shi 	实	c=2 d=5.37783e-115 t=389086
shi 	屎	c=57 d=0.369027 t=389086
shi 	市	c=2 d=2.53332e-112 t=389086
shi 	师	c=2 d=6.93112e-12 t=389086
shi 	式	c=18 d=2.00004e-96 t=389086
shi 	时	c=258 d=0.000366294 t=389086
shi 	是	c=9134 d=8.87059 t=389086
shi 	湿	c=2 d=7.39517e-186 t=389086
shi 	石	c=1 d=7.68905e-27 t=389086
shi 	试	c=159 d=0.936447 t=389086
shi a 	是啊	c=9 d=5.87847e-74 t=389086
shi an 	是按	c=2 d=6.26839e-153 t=389086
shi ba 	是吧	c=331 d=1.29268 t=389086
shi bai 	失败	c=661 d=1.7257 t=389086
shi bei 	是被	c=2 d=5.79927e-179 t=389086
shi bie 	识别	c=35 d=3.61209e-21 t=389086
shi bie du 	是别度	c=1 d=1.32377e-182 t=389086
shi bu 	是不	c=5 d=3.07802e-21 t=389086
shi bu chu 	是不出	c=1 d=3.81453e-133 t=389086
shi bu hui 	是不会	c=1 d=3.67796e-204 t=389086
shi bu shi 	是不是	c=656 d=0.128281 t=389086
shi bu shu 	是不数	c=2 d=1.99569e-41 t=389086
shi bu shu chu 	是不输出	c=1 d=0 t=389086
shi bu zhi dao 	是不知道	c=1 d=0.279431 t=389086
shi chan ma 	是产吗	c=3 d=2.00958e-05 t=389086
shi chang 	市场	c=12 d=1.04205e-14 t=389086
shi chang 	时长	c=3 d=1.12321e-14 t=389086
shi chang jia 	市场价	c=1 d=0 t=389086
shi cong 	是从	c=2 d=1.10078e-12 t=389086
shi da 	是大	c=1 d=6.40871e-90 t=389086
shi da bian 	是大便	c=1 d=1.17727e-67 t=389086
shi dai 	时代	c=8 d=2.69444e-14 t=389086
shi de 	使得	c=13 d=4.70991e-143 t=389086
shi dian 	十点	c=1 d=5.87133e-236 t=389086
shi du 	湿度	c=1 d=6.4201e-199 t=389086
shi dui 	是对	c=1 d=0 t=389086
shi duo 	十多	c=0 d=1.70282e-116 t=389086
shi duo nian 	十多年	c=1 d=1.93197e-71 t=389086
shi duo shao 	是多少	c=2 d=2.03802e-82 t=389086
shi duo wan 	十多万	c=1 d=1.71136e-115 t=389086
shi er 	事儿	c=1 d=4.04709e-94 t=389086
shi fen 	时分	c=1 d=2.81582e-238 t=389086
shi fou 	是否	c=184 d=0.030067 t=389086
shi fu 	师傅	c=2 d=8.97921e-234 t=389086
shi gan sha 	是干啥	c=1 d=1.10312e-272 t=389086
shi ge 	是个	c=26 d=8.69654e-05 t=389086
shi ge ren 	是个人	c=2 d=0.463013 t=389086
shi gei 	是给	c=1 d=1.13671e-125 t=389086
shi gong 	施工	c=1 d=1.08917e-93 t=389086
shi gu 	事故	c=50 d=3.91839e-08 t=389086
shi guo 	试过	c=39 d=0.565525 t=389086
shi he 	适合	c=5 d=7.49824e-143 t=389086
shi hou 	时候	c=0 d=3.0003e-74 t=389086
shi hu 	石斛	c=4 d=0 t=389086
shi hua 	石化	c=1 d=0 t=389086
shi hui 	时会	c=1 d=2.66837e-76 t=389086
shi ji 	世纪	c=2 d=1.25823e-261 t=389086
shi ji 	十几	c=3 d=2.10637e-30 t=389086
shi ji 	实际	c=52 d=0.000173384 t=389086
shi ji 	时机	c=19 d=2.14119e-16 t=389086
shi ji fen zhong 	十几分钟	c=1 d=2.11693e-29 t=389086
shi ji shang 	实际上	c=25 d=4.63468e-06 t=389086
shi ji wan 	十几万	c=1 d=4.5709e-261 t=389086
shi jia zhuang 	石家庄	c=1 d=4.08942e-40 t=389086
shi jian 	事件	c=44 d=1.17831e-48 t=389086
shi jian 	实践	c=1 d=1.71019e-107 t=389086
shi jian 	时间	c=748 d=0.0207105 t=389086
shi jian 	试剑	c=1 d=0 t=389086
shi jian cha 	时间差	c=1 d=0 t=389086
shi jian chuo 	时间戳	c=26 d=5.01862e-82 t=389086
shi jian dian 	时间点	c=19 d=1.29848e-14 t=389086
shi jian duan 	时间段	c=9 d=7.2846e-244 t=389086
shi jiao 	视角	c=1 d=3.24059e-97 t=389086
shi jie 	世界	c=10 d=0.000889368 t=389086
shi jin 	使劲	c=1 d=7.84496e-116 t=389086
shi jue 	视觉	c=5 d=0.000876127 t=389086
shi jun li di 	势均力敌	c=1 d=0.927743 t=389086
shi ke 	时刻	c=5 d=1.0723e-174 t=389086
shi ke yi 	是可以	c=3 d=3.16704e-121 t=389086
shi li 	势力	c=1 d=4.98828e-289 t=389086
shi li 	实例	c=2 d=0 t=389086
shi li 	实力	c=1 d=0 t=389086
